state,issuer,dated_date,series,corp_project,deal_amount,sale_date,first_coupon_date,first_call_date,issue_type,offering_type,security_type,tax_status,bank_qualified,moody_rating,sp_rating,fitch_rating,bond_insurance,lead_manager,paying_agent,deal_id
FL,CAPITAL TR AGY FLA EDL FACS REV,12/11/2017,2017-A,St Johns Classical Academy Inc Project/St Johns Classical Academy Inc Project,"$12,215,000.00",12/06/2017,03/15/2018,06/15/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,REGIONS BANK,0x001035E1D56D017D
MI,MICHIGAN FIN AUTH LTD OBLIG REV,08/22/2018,2017-A,Public School Academy Cornerstone School Assoc/Public School Academy Cornerstone School Assoc,"$1,690,000.00",12/14/2017,06/01/2019,N/A,Bond,Negotiated,REVENUE,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,KEYBANC CAPITAL MARKETS,N/A,0x001035C11E75018E
MN,MINNEAPOLIS MINN CHARTER SCH LEASE REV,12/19/2017,2017-A,Twin Cities International Schools Project/Twin Cities International Schools Project,"$26,125,000.00",12/08/2017,06/01/2018,12/01/2027,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DOUGHERTY AND CO LLC,UMB BANK NA,0x00103586FD6F0130
AZ,PIMA CNTY ARIZ INDL DEV AUTH ED REV,12/21/2017,2017,American Leadership Academy Project/American Leadership Academy Project,"$192,290,000.00",12/14/2017,06/15/2018,06/15/2022,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,UMB BANK NA,0x0010350D14740149
WI,PUBLIC FIN AUTH WIS CHARTER SCH REV,12/01/2017,2017-C,Cent Charter School Project/Cent Charter School Project,"$13,255,000.00",11/30/2017,02/01/2018,N/A,Bond,Negotiated,REVENUE,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,R SEELAUS AND CO,N/A,0x0010351A685F0109
WI,PUBLIC FIN AUTH WIS CHARTER SCH REV,12/07/2017,2017-B,Queen City STEM School Project/Queen City STEM School Project,"$755,000.00",12/05/2017,06/15/2018,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,REGIONS BANK,0x001035B8BA6C014A
WI,PUBLIC FIN AUTH WIS CHARTER SCH REV,12/07/2017,2017-A,Queen City STEM School Project/Queen City STEM School Project,"$10,670,000.00",12/05/2017,06/15/2018,06/15/2025,Bond,Limited,LEASE - RENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,REGIONS BANK,0x001035A0BA6C0152
WI,PUBLIC FIN AUTH WIS ED REV,12/14/2017,2017-B,Coral Academy of Science Las Vegas/Coral Academy of Science Las Vegas,"$760,000.00",11/30/2017,07/01/2018,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,US BANK NA,0x001035E90E6A01A9
WI,PUBLIC FIN AUTH WIS ED REV,12/14/2017,2017-A,Coral Academy of Science Las Vegas/Coral Academy of Science Las Vegas,"$12,760,000.00",11/30/2017,07/01/2018,07/01/2027,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,US BANK NA,0x001035E80E6A01A8
CA,CALIFORNIA MUN FIN AUTH CHARTER SCH REV,12/28/2017,2017-B,John Adams Academies Inc Project/John Adams Academies Inc Project,"$310,000.00",12/22/2017,04/01/2018,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,PIPER JAFFRAY AND CO,WELLS FARGO BANK NA,0x001035B2217701C0
CA,CALIFORNIA MUN FIN AUTH CHARTER SCH REV,12/28/2017,2017-A,John Adams Academies Inc Project/John Adams Academies Inc Project,"$4,255,000.00",12/22/2017,04/01/2018,10/01/2022,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BB / N/A / N/A,N/A / N/A,N/A,PIPER JAFFRAY AND CO,WELLS FARGO BANK NA,0x001035B1217701C3
CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,12/28/2017,2017-A,Classical Academies Project/Classical Academies Project,"$28,560,000.00",12/20/2017,04/01/2018,10/01/2027,Bond,Limited,LEASE - RENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,WELLS FARGO BANK NA,0x001035C701760194
CO,COLORADO EDL & CULTURAL FACS AUTH REV,12/21/2017,2017,Swallows Charter Academy Project/Swallows Charter Academy Project,"$3,680,000.00",12/21/2017,05/15/2018,11/15/2022,Bond,Remarketing,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO INC,UMB BANK NA,0x001035C1447901D8
DC,DISTRICT COLUMBIA REV,12/28/2017,2017-B,Kipp DC Issue/Kipp DC Issue,"$63,920,000.00",12/19/2017,07/01/2018,01/01/2028,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,WELLS FARGO BANK NA,0x001035EA6D7501D6
DC,DISTRICT COLUMBIA REV,12/28/2017,2017-A,Kipp DC Issue/Kipp DC Issue,"$64,610,000.00",12/19/2017,07/01/2018,01/01/2028,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,WELLS FARGO BANK NA,0x001035E96D7501D5
FL,FLORIDA DEV FIN CORP EDL FACS REV,12/28/2017,2017-C,Downtown Doral Charter Upper School Project/Downtown Doral Charter Upper School Project,"$38,990,000.00",12/20/2017,07/01/2018,07/01/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,MBS CAPITAL MARKETS LLC,WELLS FARGO BANK NA,0x001035FEB376011F
AZ,LA PAZ CNTY ARIZ INDL DEV AUTH ED FAC REV,12/28/2017,2017,Imagine Schools Desert West Middle Project/Imagine Schools Desert West Middle Project,"$10,210,000.00",12/20/2017,06/15/2018,06/15/2027,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANK,0x0010359F8B750145
AZ,PIMA CNTY ARIZ INDL DEV AUTH ED REV,12/28/2017,2017,San Tan Montessori School Project/San Tan Montessori School Project,"$18,995,000.00",12/22/2017,02/01/2018,02/01/2028,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DOUGHERTY AND CO LLC,BOKF NA,0x001035F49A77013D
