state,issuer,dated_date,series,corp_project,deal_amount,sale_date,first_coupon_date,first_call_date,issue_type,offering_type,security_type,tax_status,bank_qualified,moody_rating,sp_rating,fitch_rating,bond_insurance,lead_manager,paying_agent,deal_id
CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,12/29/2020,2020-B,Lifeline Education Charter School Project/Lifeline Education Charter School Project,"$365,000.00",12/15/2020,07/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x001035CF504B04F5
CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,12/29/2020,2020-A,Lifeline Education Charter School Project/Lifeline Education Charter School Project,"$10,135,000.00",12/15/2020,07/01/2021,07/01/2028,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BB+ / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x001035CE504B04F4
CA,CALIFORNIA SCH FIN AUTH SCH FAC REV,12/29/2020,2020-A,KIPP SoCal Projects/KIPP SoCal Projects,"$33,410,000.00",12/17/2020,07/01/2021,07/01/2030,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANCORPORATION NA,0x0010358D694F048A
CO,COLORADO EDL & CULTURAL FACS AUTH REV,12/22/2020,2020-B,Swallows Charter Academy Project/Swallows Charter Academy Project,"$195,000.00",12/16/2020,05/15/2021,11/15/2022,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,UMB BANK NA,0x001035147D4F0407
CO,COLORADO EDL & CULTURAL FACS AUTH REV,12/22/2020,2020-A,Swallows Charter Academy Project/Swallows Charter Academy Project,"$6,560,000.00",12/16/2020,05/15/2021,11/15/2022,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,UMB BANK NA,0x001035127D4F0401
CO,COLORADO EDL & CULTURAL FACS AUTH REV,12/23/2020,2020-B,Vanguard Classical School Project/Vanguard Classical School Project,"$35,000.00",12/18/2020,07/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,UMB BANK NA,0x001035BA635104A9
CO,COLORADO EDL & CULTURAL FACS AUTH REV,12/23/2020,2020-A,Vanguard Classical School Project/Vanguard Classical School Project,"$24,500,000.00",12/18/2020,07/01/2021,07/01/2023,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,UMB BANK NA,0x00103549885004B0
CO,COLORADO EDL & CULTURAL FACS AUTH REV,12/30/2020,2020,Global Village Academy Northglenn Project/Global Village Academy Northglenn Project,"$19,170,000.00",12/16/2020,06/01/2021,12/30/2020,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,UMB BANK NA,0x0010358C084E04EB
NJ,ESSEX CNTY N J IMPT AUTH CHARTER SCH REV,12/30/2020,2020-B,North Star Academy Charter School of Newark Inc/North Star Academy Charter School of Newark Inc,"$25,565,000.00",12/18/2020,08/01/2021,08/01/2030,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,ZIONS BANCORPORATION NA,0x001035C76C5104DB
NJ,ESSEX CNTY N J IMPT AUTH CHARTER SCH REV,12/30/2020,2020-A,North Star Academy Charter School of Newark Inc/North Star Academy Charter School of Newark Inc,"$6,505,000.00",12/18/2020,08/01/2021,08/01/2030,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BBB- / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,ZIONS BANCORPORATION NA,0x0010350C7051040C
ID,IDAHO HSG & FIN ASSN NONPROFIT FACS REV,12/16/2020,2020-A,Sage International School of Boise Project/Sage International School of Boise Project,"$9,890,000.00",12/03/2020,05/01/2021,05/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,A+ / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,ZIONS BANCORPORATION NA,0x00103528CA410482
IN,INDIANA ST FIN AUTH REV,01/07/2021,2020-B,Victory College/Victory College,"$505,000.00",12/30/2020,06/01/2021,12/01/2021,Bond,Private Placement,REVENUE,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,N/A,N/A,0x001035CB4E5204F6
IN,INDIANA ST FIN AUTH REV,01/07/2021,2021-B,Circle City Preparatory Inc Project/Circle City Preparatory Inc Project,"$400,000.00",12/30/2020,06/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,UMB BANK NA,0x00103529895804D9
IN,INDIANA ST FIN AUTH REV,01/07/2021,2021-A,Circle City Preparatory Inc Project/Circle City Preparatory Inc Project,"$4,380,000.00",12/30/2020,06/01/2021,12/01/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,UMB BANK NA,0x00103528895804D8
PA,PHILADELPHIA PA AUTH FOR INDL DEV REVS,12/22/2020,2020-A,Esperanza Academy Charter School Project/Esperanza Academy Charter School Project,"$2,625,000.00",12/18/2020,06/15/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES INC,US BANK NA,0x001035BD95500459
PA,PHILADELPHIA PA AUTH FOR INDL DEV REVS,12/22/2020,2020-B,Esperanza Academy Charter School Project/Esperanza Academy Charter School Project,"$35,610,000.00",12/18/2020,06/15/2021,06/15/2030,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES INC,US BANK NA,0x001035BE9550045A
WI,PUBLIC FIN AUTH WIS ED REV,12/10/2020,2020-C,Cirrus Academy Charter School/Cirrus Academy Charter School,"$355,000.00",12/08/2020,06/15/2021,12/10/2020,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,LOOP CAPITAL MARKETS LLC,UMB BANK NA,0x0010351864450418
WI,PUBLIC FIN AUTH WIS ED REV,12/10/2020,2020-B,Cirrus Academy Charter School/Cirrus Academy Charter School,"$2,680,000.00",12/08/2020,06/15/2021,06/15/2030,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,LOOP CAPITAL MARKETS LLC,UMB BANK NA,0x0010351764450417
WI,PUBLIC FIN AUTH WIS ED REV,12/10/2020,2020-A,Cirrus Academy Charter School/Cirrus Academy Charter School,"$8,790,000.00",12/08/2020,06/15/2021,06/15/2030,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,LOOP CAPITAL MARKETS LLC,UMB BANK NA,0x0010351664450416
WI,PUBLIC FIN AUTH WIS EDL FAC REV,12/17/2020,2020-B,Charter Day School Inc Project/Charter Day School Inc Project,"$485,000.00",12/03/2020,06/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,WR / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BC ZIEGLER AND CO,BOKF NA,0x001035982B4104D3
WI,PUBLIC FIN AUTH WIS EDL FAC REV,12/17/2020,2020-A,Charter Day School Inc Project/Charter Day School Inc Project,"$36,570,000.00",12/03/2020,06/01/2021,12/01/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,Ba2 / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BC ZIEGLER AND CO,BOKF NA,0x001035972B4104DC
MN,ST PAUL MINN HSG & REDEV AUTH CHARTER SCH LEASE REV,12/31/2020,2020-A,Home Community Academy Project/Home Community Academy Project,"$19,675,000.00",12/23/2020,06/01/2021,12/01/2028,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,B- / N/A / N/A,N/A / N/A,N/A,COLLIERS SECURITIES LLC,UMB BANK NA,0x0010356D5255044B
UT,UTAH ST CHARTER SCH FIN AUTH CHARTER SCH REV,12/07/2020,2020-B,Paradigm High School Project/Paradigm High School Project,"$170,000.00",12/03/2020,01/15/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x001035208E3E04B1
UT,UTAH ST CHARTER SCH FIN AUTH CHARTER SCH REV,12/07/2020,2020-A,Paradigm High School Project/Paradigm High School Project,"$8,200,000.00",12/03/2020,01/15/2021,01/15/2025,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x0010351F8E3E048E
NY,BUILD NYC RESOURCE CORP N Y REV,02/26/2021,2021-B,Friends of Hellenic Classical Charter Schools Inc/Friends of Hellenic Classical Charter Schools Inc,"$835,000.00",01/14/2021,06/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,BANK OF NEW YORK MELLON,0x0010351E6A660433
NY,BUILD NYC RESOURCE CORP N Y REV,02/26/2021,2021-A,Friends of Hellenic Classical Charter Schools Inc/Friends of Hellenic Classical Charter Schools Inc,"$40,970,000.00",01/14/2021,06/01/2021,12/01/2029,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,BANK OF NEW YORK MELLON,0x0010351D6A660430
DC,DISTRICT COLUMBIA REV,02/11/2021,2021-B,Rocketship DC Obligated Group Issue No 2/Rocketship DC Obligated Group Issue No 2,"$1,040,000.00",01/28/2021,06/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,WILMINGTON TRUST NA,0x001035AA437504BD
DC,DISTRICT COLUMBIA REV,02/11/2021,2021-A,Rocketship DC Obligated Group Issue No 2/Rocketship DC Obligated Group Issue No 2,"$27,135,000.00",01/28/2021,06/01/2021,06/01/2029,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,WILMINGTON TRUST NA,0x001035A9437504BE
FL,FLORIDA DEV FIN CORP EDL FACS REV,01/28/2021,2021-C,Naples Classical Academy Project/Naples Classical Academy Project,"$1,530,000.00",01/26/2021,06/15/2021,01/28/2021,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,UMB BANK NA,0x0010358A2F7104F5
FL,FLORIDA DEV FIN CORP EDL FACS REV,01/28/2021,2021-A,Naples Classical Academy Project/Naples Classical Academy Project,"$17,550,000.00",01/26/2021,06/15/2021,01/28/2021,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,UMB BANK NA,0x001035892F7104F6
FL,FLORIDA DEV FIN CORP EDL FACS REV,01/28/2021,2021-B,Naples Classical Academy Project/Naples Classical Academy Project,"$5,600,000.00",01/26/2021,06/15/2021,01/28/2021,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,UMB BANK NA,0x0010358C2F7104F3
FL,FLORIDA DEV FIN CORP EDL FACS REV,02/04/2021,2021-B,River City Science Academy Projects/River City Science Academy Projects,"$340,000.00",01/21/2021,07/01/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,WR / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BC ZIEGLER AND CO,ZIONS BANCORPORATION NA,0x0010352E346D0456
FL,FLORIDA DEV FIN CORP EDL FACS REV,02/04/2021,2021-A,River City Science Academy Projects/River City Science Academy Projects,"$34,525,000.00",01/21/2021,07/01/2021,07/01/2028,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,WR / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BC ZIEGLER AND CO,ZIONS BANCORPORATION NA,0x0010352D346D0455
ID,IDAHO HSG & FIN ASSN NONPROFIT FACS REV,01/28/2021,2021-B,Idaho Arts Charter School Inc Project/Idaho Arts Charter School Inc Project,"$2,345,000.00",01/21/2021,05/01/2021,05/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,A+ / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANCORPORATION NA,0x00103540346D0438
ID,IDAHO HSG & FIN ASSN NONPROFIT FACS REV,01/28/2021,2021-A,Idaho Arts Charter School Inc Project/Idaho Arts Charter School Inc Project,"$2,480,000.00",01/21/2021,05/01/2021,05/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANCORPORATION NA,0x0010353F346D0447
MI,MICHIGAN FIN AUTH LTD OBLIG REV,02/23/2021,2021,Hanley International Academy Inc Project/Hanley International Academy Inc Project,"$6,600,000.00",01/21/2021,09/01/2021,08/15/2031,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BB+ / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,US BANK NA,0x001035241D6D0475
TX,NEWARK HIGHER ED FIN CORP TEX ED REV,02/12/2021,2021-B,Hughen Center Inc/Hughen Center Inc,"$295,000.00",01/27/2021,08/15/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES,UMB BANK NA,0x0010357ACC7204E5
TX,NEWARK HIGHER ED FIN CORP TEX ED REV,02/12/2021,2021-A,Hughen Center Inc/Hughen Center Inc,"$16,290,000.00",01/27/2021,08/15/2021,08/15/2031,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES,UMB BANK NA,0x00103579CC7204E6
AZ,PIMA CNTY ARIZ INDL DEV AUTH ED REV,01/27/2021,2021,Berean Academy Refunding Project/Berean Academy Refunding Project,"$6,930,000.00",01/14/2021,07/01/2021,07/01/2031,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BB / N/A / N/A,N/A / N/A,N/A,MUNICIPAL CAPITAL MARKETS GROUP INC,TMI TRUST CO,0x00103502746E0439
AR,ARKANSAS ST DEV FIN AUTH REV,07/01/2021,2021-A,Pulaski Academy Project/Pulaski Academy Project,"$18,475,000.00",02/25/2021,01/01/2022,07/01/2028,Bond,Negotiated,REVENUE,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,CREWS AND ASSOCIATES INC,N/A,0x001035FBF38A04A3
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,02/16/2021,2021-B,Newman International Academy/Newman International Academy,"$1,355,000.00",02/04/2021,08/15/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BC ZIEGLER AND CO,WILMINGTON TRUST NA,0x0010356A127B0422
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,02/16/2021,2021-A,Newman International Academy/Newman International Academy,"$15,520,000.00",02/04/2021,08/15/2021,08/15/2028,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BC ZIEGLER AND CO,WILMINGTON TRUST NA,0x00103569127B0421
CA,CALIFORNIA MUN FIN AUTH CHARTER SCH REV,03/09/2021,2021-B,Learning Choice Academy/Learning Choice Academy,"$385,000.00",02/23/2021,07/01/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES INC,WILMINGTON TRUST NA,0x001035E1A08804E8
CA,CALIFORNIA MUN FIN AUTH CHARTER SCH REV,03/09/2021,2021-A,Learning Choice Academy/Learning Choice Academy,"$8,655,000.00",02/23/2021,07/01/2021,07/01/2031,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BBB- / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES INC,WILMINGTON TRUST NA,0x001035E0A08804E9
FL,CAPITAL TR AGY FLA EDL FACS REV,02/17/2021,2021-B,Lutz Preparatory School Inc Project/Lutz Preparatory School Inc Project,"$180,000.00",02/04/2021,06/01/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,WR / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,US BANK NA,0x001035D9E37A0461
FL,CAPITAL TR AGY FLA EDL FACS REV,02/17/2021,2021-A,Lutz Preparatory School Inc Project/Lutz Preparatory School Inc Project,"$6,585,000.00",02/04/2021,06/01/2021,06/01/2028,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,Baa2 / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,US BANK NA,0x001035D8E37A0460
FL,CAPITAL TR AGY FLA EDL FACS REV,02/18/2021,2021-C,Pineapple Cove Classical Academy at West Melbourne/Pineapple Cove Classical Academy at West Melbourne,"$405,000.00",02/16/2021,06/15/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES INC,WILMINGTON TRUST NA,0x001035FCF98304A7
FL,CAPITAL TR AGY FLA EDL FACS REV,02/18/2021,2021-B,Pineapple Cove Classical Academy at West Melbourne/Pineapple Cove Classical Academy at West Melbourne,"$4,030,000.00",02/16/2021,06/15/2021,12/15/2028,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES INC,WILMINGTON TRUST NA,0x001035FAF98304A1
FL,CAPITAL TR AGY FLA EDL FACS REV,02/18/2021,2021-A,Pineapple Cove Classical Academy at West Melbourne/Pineapple Cove Classical Academy at West Melbourne,"$6,800,000.00",02/16/2021,06/15/2021,02/18/2021,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES INC,WILMINGTON TRUST NA,0x001035F9F98304A2
CO,COLORADO EDL & CULTURAL FACS AUTH REV,02/23/2021,2021-B,Vega Collegiate Academy Project/Vega Collegiate Academy Project,"$375,000.00",02/03/2021,08/01/2021,02/23/2021,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,Ba2 / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,UMB BANK NA,0x001035311D7B0476
CO,COLORADO EDL & CULTURAL FACS AUTH REV,02/23/2021,2021-A,Vega Collegiate Academy Project/Vega Collegiate Academy Project,"$12,290,000.00",02/03/2021,08/01/2021,02/23/2021,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,Ba2 / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,UMB BANK NA,0x0010358A1A7B04CA
CO,COLORADO EDL & CULTURAL FACS AUTH REV,02/26/2021,2021,Pinnacle Charter School Inc Project/Pinnacle Charter School Inc Project,"$17,765,000.00",02/17/2021,06/01/2021,12/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,SBAM,DA DAVIDSON AND CO,UMB BANK NA,0x00103526468604C7
AZ,LA PAZ CNTY ARIZ INDL DEV AUTH ED FAC LEASE REV,03/02/2021,2021-B,Harmony Education Foundation Harmony Public School/Harmony Education Foundation Harmony Public School,"$420,000.00",02/18/2021,08/15/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES,REGIONS BANK,0x00103564F2830434
AZ,LA PAZ CNTY ARIZ INDL DEV AUTH ED FAC LEASE REV,03/02/2021,2021-A,Harmony Education Foundation Harmony Public School/Harmony Education Foundation Harmony Public School,"$14,955,000.00",02/18/2021,08/15/2021,02/15/2031,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,TRUIST SECURITIES,REGIONS BANK,0x00103561F2830431
SC,SOUTH CAROLINA JOBS-ECONOMIC DEV AUTH EDL FACS REV,02/26/2021,2021-B,Riverwalk Academy Project/Riverwalk Academy Project,"$780,000.00",02/24/2021,06/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,US BANK NA,0x001035591A8B04E9
SC,SOUTH CAROLINA JOBS-ECONOMIC DEV AUTH EDL FACS REV,02/26/2021,2021-A,Riverwalk Academy Project/Riverwalk Academy Project,"$12,685,000.00",02/24/2021,06/01/2021,06/01/2028,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,US BANK NA,0x001035581A8B04E8
UT,UTAH ST CHARTER SCH FIN AUTH CHARTER SCH REV,02/24/2021,2021-B,St George Campus Project/St George Campus Project,"$130,000.00",02/03/2021,06/15/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,US BANK NA,0x001035B8747F0492
UT,UTAH ST CHARTER SCH FIN AUTH CHARTER SCH REV,02/24/2021,2021-A,St George Campus Project/St George Campus Project,"$13,725,000.00",02/03/2021,06/15/2021,06/15/2031,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,US BANK NA,0x00103539AA7A04C8
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,03/18/2021,2021-B,The Royal School System/The Royal School System,"$515,000.00",03/16/2021,06/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,UMB BANK NA,0x0010353ED29E0453
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,03/18/2021,2021-A,The Royal School System/The Royal School System,"$9,440,000.00",03/16/2021,06/01/2021,03/01/2024,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,UMB BANK NA,0x0010353DD29E0450
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,03/31/2021,2021-B,Brooks Academies of Texas/Brooks Academies of Texas,"$165,000.00",03/18/2021,12/15/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,REGIONS BANK,0x001035CF95A004DB
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,03/31/2021,2021-A,Brooks Academies of Texas/Brooks Academies of Texas,"$42,795,000.00",03/19/2021,12/15/2021,06/15/2026,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,REGIONS BANK,0x001035CE95A004DA
CA,CALIFORNIA MUN FIN AUTH REV,03/18/2021,2021-B,State Deferral Financing Program/State Deferral Financing Program,"$7,665,000.00",03/10/2021,12/15/2021,11/01/2021,Revenue Anticipation Note,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,WILMINGTON TRUST NA,0x001035993C9B041F
CA,CALIFORNIA MUN FIN AUTH REV,03/18/2021,2021-A,State Deferral Financing Program/State Deferral Financing Program,"$14,900,000.00",03/10/2021,12/15/2021,11/01/2021,Revenue Anticipation Note,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,WILMINGTON TRUST NA,0x001035723A9B04F2
CA,CALIFORNIA SCH FIN AUTH REV,03/30/2021,2021 B-1,ASAP Program/ASAP Program,"$33,760,000.00",03/18/2021,12/30/2021,N/A,Other Anticipation Note,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / WR,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x00103536B4A10402
CA,CALIFORNIA SCH FIN AUTH REV,03/30/2021,2021 B-2,ASAP Program/ASAP Program,"$33,760,000.00",03/18/2021,12/30/2021,N/A,Other Anticipation Note,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / WR,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x00103537B4A10403
CA,CALIFORNIA SCH FIN AUTH REV,03/30/2021,2021 A-1,ASAP Program/ASAP Program,"$15,475,000.00",03/18/2021,12/30/2021,N/A,Other Anticipation Note,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / WR,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x00103533B4A10407
