cusip,maturity_date,par_amount,coupon_rate,original_price,original_yield,spread,spread_interpolated,deal_id,evaluated_price,evaluated_yield,spread_to_mmd,spread_to_mmd_interpolated,priceTo,reward
13059TEJ4,2037-07-01,5790000.0,6.25,100.0,6.25,347.0,347.0,0x001035780A250173,,,,,,5790000.0
68607AAJ0,2044-12-15,4630000.0,6.5,99.423,6.55,330.0,,0x001035912E020A92,93.5805033722,7.1142191788,279.4,,MATY,5787500.0
13058TUZ1,2040-06-01,3305000.0,7.0,101.456,6.6,337.0,,0x00106A67639B02E7,101.0793640388,6.6760821962,277.6,,PARC,5783750.0
72177PBL3,2048-02-01,4600000.0,6.5,100.0,6.5,397.0,,0x001035B9FF370054,,,,,,5750000.0
19645R2B6,2046-12-15,3280000.0,7.0,100.0,7.0,472.0,,0x00103552318C00CA,,,,,,5740000.0
12008EUS3,2043-04-15,3810000.0,6.75,97.359,7.0,267.0,,0x001035560335094C,106.7804047085,5.6560821897,141.6,,PARC,5715000.0
13058TVJ6,2045-04-15,3800000.0,6.75,99.457,6.8,237.0,,0x00106A78933403A6,100.8514125087,6.6282191763,225.8,,MATY,5700000.0
72177PBU3,2047-06-15,6365000.0,6.125,100.0,6.125,309.5,,0x001035AE3BCE007E,90.5230756237,6.9745753375,251.5,,MATY,5569375.0
14054CDP1,2056-06-15,4030000.0,6.625,95.0,7.008,564.8,,0x001035FAF98304A1,73.7906872704,9.193,457.3,,MATY,5541250.0
744396HH8,2051-12-15,6330000.0,6.125,100.0,6.125,321.5,,0x0010350B7C7F062B,93.0524216754,6.688287667,211.8,,MATY,5538750.0
744396HL9,2042-06-01,4425000.0,6.5,99.879,6.51,340.0,,0x00103582C9A106C9,96.0500928846,6.8987260295,276.9,,MATY,5531250.0
72177PBG4,2045-12-01,5500000.0,6.25,100.0,6.25,341.0,,0x00102100EB7D72D5,100.7883627026,4.0836027129,-28.6,,MATY,5500000.0
50376HAF0,2030-06-15,2195000.0,7.75,100.0,7.75,412.9,553.0,0x00103539CC2008F8,,,,,,5487500.0
74442EJY7,2057-06-15,6230000.0,6.125,98.923,6.2,291.5,,0x001035EC7DD50667,97.3518203414,5.9375479479,237.8,238.8,MATY,5451250.0
13058TQQ6,2042-04-01,2405000.0,7.5,100.0,7.5,378.79999999999995,,0x001035E020920671,,,,,,5411250.0
91873TAC3,2053-12-01,4315000.0,6.5,100.0,6.5,333.0,,0x001035FB4C000290,,,,,,5393750.0
74442EFE5,2048-12-01,3070000.0,7.0,100.0,7.0,539.0,,0x001035D9FF910391,96.6810054893,7.2969315104,279.7,,MATY,5372500.0
54628CG55,2053-06-15,4740000.0,6.375,98.602,6.48,302.0,,0x001035B5A6C707F6,95.7226498592,6.7156438399,211.6,,MATY,5332500.0
26940AAB1,2055-02-01,4710000.0,6.375,99.269,6.43,253.0,,0x00106AEE7E82026A,93.6556700318,6.8796438327,226.0,,MATY,5298750.0
67868QAL6,2053-07-01,4700000.0,6.375,98.346,6.5,308.0,,0x001035D61C610789,99.7030964617,6.3976438337,179.8,,MATY,5287500.0
50376FAK3,2027-08-01,3000000.0,7.0,100.0,7.0,474.6,499.7,0x001035696B0B012D,97.3406970448,8.4422045306,598.2,598.2,MATY,5250000.0
50376FAL1,2027-08-01,3000000.0,7.0,100.0,7.0,474.6,499.7,0x001035696B0B012D,97.3406970448,8.4422045306,598.2,598.2,MATY,5250000.0
50376FAM9,2027-08-01,3000000.0,7.0,100.0,7.0,474.6,499.7,0x001035696B0B012D,97.3406970448,8.4422045306,598.2,598.2,MATY,5250000.0
50376FAN7,2027-08-01,3000000.0,7.0,100.0,7.0,474.6,499.7,0x001035696B0B012D,97.3406970448,8.4422045306,598.2,598.2,MATY,5250000.0
45129GDK8,2028-07-15,3500000.0,6.75,100.0,6.75,460.0,457.5,0x0010357EEF0602B0,,,,,,5250000.0
45129GDL6,2028-07-15,3500000.0,6.75,100.0,6.75,518.0,517.5,0x001035F7853C0269,,,,,,5250000.0
744396HM7,2052-06-01,3795000.0,6.625,99.667,6.65,355.0,,0x00103582C9A106C9,94.6534799794,7.163,254.3,,MATY,5218125.0
83704MCL8,2030-03-15,900000.0,11.0,100.0,11.0,736.0,893.0,0x00103512F20808C5,,,,,,5175000.0
56681NHD2,2053-07-01,1865000.0,8.0,100.376,7.25,337.0,,0x001035FCC36C087E,,,,,,5128750.0
